choice,value,subject,trial,rt,fixations,fix_times
3,"[1.0, 2.0, 4.0]",14,63,2025,"[1, 3, 2, 3]","[319, 279, 877, 199]"
3,"[1.0, 2.0, 10.0]",24,82,880,"[1, 3]","[178, 279]"
2,"[2.0, 6.0, 5.0]",2,81,1521,"[1, 3, 2]","[258, 338, 499]"
3,"[2.0, 1.0, 7.0]",20,34,1613,"[1, 3, 2, 3]","[286, 361, 384, 155]"
2,"[7.0, 6.0, 2.0]",27,71,1499,"[2, 1]","[956, 142]"
2,"[2.0, 6.0, 1.0]",2,13,1577,"[1, 2, 3]","[336, 537, 340]"
1,"[9.0, 3.0, 4.0]",9,8,830,"[2, 1, 3]","[219, 279, 20]"
2,"[5.0, 8.0, 3.0]",5,50,1828,"[2, 1, 3, 2]","[239, 239, 418, 399]"
1,"[6.0, 5.0, 3.0]",16,92,3132,"[1, 3, 2, 1, 3]","[378, 399, 1076, 538, 361]"
3,"[6.0, 7.0, 3.0]",25,82,2518,"[2, 1, 2, 3]","[301, 898, 279, 718]"
2,"[4.0, 2.0, 1.0]",17,63,8154,"[3, 1, 2, 1, 2, 1, 2, 1]","[163, 121, 915, 777, 1075, 1215, 591, 895]"
2,"[3.0, 1.0, 2.0]",12,79,1462,"[3, 2, 1, 3, 2]","[317, 179, 320, 180, 81]"
1,"[7.0, 4.0, 1.0]",10,26,1364,"[2, 1]","[199, 837]"
3,"[4.0, 7.0, 6.0]",28,79,3049,"[2, 3, 1, 3, 2, 3]","[260, 259, 259, 157, 578, 936]"
3,"[7.0, 6.0, 8.0]",26,26,2080,"[2, 1, 3]","[290, 339, 1235]"
1,"[8.0, 4.0, 3.0]",13,78,1400,"[1, 3, 2, 3]","[398, 178, 259, 199]"
1,"[4.0, 1.0, 2.0]",2,25,1823,"[2, 3, 1, 2, 1]","[236, 299, 298, 378, 141]"
3,"[6.0, 1.0, 3.0]",23,29,2170,"[2, 3, 1]","[358, 877, 558]"
2,"[1.0, 9.0, 6.0]",27,45,933,[2],[696]
1,"[7.0, 8.0, 6.0]",24,56,2292,"[2, 1, 3]","[617, 539, 818]"
1,"[8.0, 5.0, 6.0]",29,96,1748,"[3, 1, 2, 1]","[159, 338, 519, 259]"
2,"[1.0, 10.0, 2.0]",4,12,1831,"[1, 3, 2]","[339, 518, 678]"
2,"[3.0, 4.0, 1.0]",2,22,1406,"[2, 3, 1, 2]","[338, 279, 398, 40]"
3,"[3.0, 1.0, 5.0]",4,35,2819,"[1, 3, 2, 3, 1, 3, 1]","[219, 358, 438, 339, 299, 336, 259]"
3,"[3.0, 6.0, 7.0]",13,50,3541,"[2, 1, 3, 2, 3]","[577, 438, 319, 1216, 439]"
2,"[2.0, 6.0, 1.0]",2,57,4806,"[3, 2, 1, 3, 2, 3, 2, 1, 2]","[219, 220, 279, 638, 20, 777, 498, 817, 380]"
2,"[3.0, 1.0, 2.0]",6,87,2158,"[2, 3, 1, 3, 2, 3, 2]","[140, 120, 439, 180, 219, 259, 145]"
3,"[4.0, 1.0, 5.0]",7,21,4655,"[2, 1, 3]","[1893, 1562, 816]"
2,"[2.0, 3.0, 1.0]",6,1,2858,"[3, 2, 3, 1, 2]","[159, 179, 199, 200, 1295]"
